Original Ingredient,Cleaned Ingredient
국간장 3g,국간장
국간장 5,국간장
국간장 0.4g,국간장
국간장 3g - 국물 : 다시마국물 100g(건다시마 5g),국간장 국물 다시마국물
국멸치 1.3g,국멸치
국멸치 2g,국멸치
국멸치 5g,국멸치
국멸치 3g,국멸치
국멸치 0.3g,국멸치
국수(100g),국수
굴 30g,굴
굴 50,굴
굴 25g,굴
굴 20g,굴
굴소스(20g),굴소스
굴소스 2g,굴소스
굴소스 3g,굴소스
굴소스(10g),굴소스
굴소스(1.5Ts),굴소스
굴소스(5g),굴소스
굴소스 0.3,굴소스
굴소스 1.5,굴소스
굴소스 1g,굴소스
굵게 다진 사과(8g),굵게 사과
굵은 고춧가루 1g,굵은 고춧
굵은 고춧가루 5g,굵은 고춧
굵은 고춧가루 1.7g,굵은 고춧
굵은 면발 라면(55g),굵은 면발 라면
"굵은 소금(5g)
양파(20g)",굵은 소금 양파
굵은소금적당량,굵은소금
굵은소금 0.5g,굵은소금
귀리 20g,귀리
귀리(100g),귀리
귀리 30g,귀리
귀리밥 100g,귀리밥
귀리밥 200g,귀리밥
귀리밥 50g,귀리밥
귤(60g),귤
귤 즙 10g,귤 즙
귤병(20g),귤병
귤통조림 20g,귤통조림
그라나파다노 치즈(1Ts),그라나파다노 치즈
그라나파다노치즈(1Ts),그라나파다노치즈
그라놀라 30g,그라놀라
그릭요거트(150g),그릭요거트
그릭요거트(45g),그릭요거트
그린 샐러드적당량[불고기 드래싱] 풋고추 3g,그린 샐러드 풋고추
●그린매쉬드포테이토 : 감자 80g(1/2개),그린매쉬드포테이토 감자
그린비타민 8g,그린비타민
그린빈 10g,그린빈
그린빈스 10g,그린빈스
그린치커리(5g),그린치커리
"그린커리
페이스트(50g)",그린커리 페이스트
근대 50g,근대
근대 20g,근대
근대쌈밥 : 쌀 70g,근대쌈밥 쌀
금태 50g,금태
기름 10g,기름
기름5g,기름
"2인분 기준<br>
• [가정 간편식 재료] 고등어(1마리=250g)",기준br 고등어
"2인분 기준<br>

• [가정 간편식 재료] 누들 떡볶이 떡(20개",기준br 누들 떡볶이 떡
"2인분 기준<br>
• [간편식 재료] 메밀면(생면",기준br 메밀면생면
"2인분 기준<br>
• [가정 간편식 재료] 배추(200g)",기준br 배추
"2인분 기준<br>
• [가정 간편식 재료] 새우(50g)",기준br 새우
"2인분 기준<br>
• [가정 간편식 재료] 소고기(180g)",기준br 소고기
"2인분 기준<br>
• [가정 간편식 재료] 순두부(1/2봉지=175g)",기준br 순두부
"2인분 기준<br>
• [간편식 재료] 쌈두부(18g)",기준br 쌈두부
"2인분 기준<br>
•[간편식 재료] 알배추(40g)",기준br 알배추
"2인분 기준<br>
• [간편식 재료] 커리 소스(80g)",기준br 커리 소스
김 0.5,김
김(10g),김
김 1.3,김
김 4g(1장),김
김(3g),김
김(2장),김
김(2g),김
김가루(2g),김
김 10g,김
김 2g,김
김(5g),김
구운 김(1장),김
김 0.3g,김
김밥용 김(2g),김밥용 김
김장김치 20g,김장김치
김치(30g),김치
김치 15g,김치
[ 2인분 ] 김치(¼포기),김치
김치 140g,김치
김치 70g,김치
김치 8g,김치
김치(40g),김치
김치(140g),김치
"김치(50g)
두부(40g)",김치 두부
"김치(20g)
떡볶이떡(20g)",김치 떡볶이떡
까나리액젓(20g),까나리액젓
까나리액젓 3g,까나리액젓
까망베르치즈 8g,까망베르치즈
깍두기 5,깍두기
깐대파 3.5g,깐대파
깐대파 2g,깐대파
깐들깨가루 17g,깐들깨
깐마늘 1.1g,깐마늘
깐마늘 0.3g,깐마늘
깐마늘 1.2g,깐마늘
깐밤 1.1g,깐밤
깐밤 5g,깐밤
깐생강 0.2g,깐생강
깐생강 0.3g,깐생강
깐양파 5g,깐양파
깐양파 1.1g,깐양파
깐양파 9.5g,깐양파
깐양파 2g,깐양파
깐양파 3.7g,깐양파
깐연근 1.7g,깐연근
깐연근 22.18g,깐연근
깐호두 5g,깐호두
검은 깨 5g,깨
검은깨 3g,깨
깨 15g(1큰술),깨
깨(1g),깨
검은깨(5g),깨
검은깨 5g(1작은술),깨
깨 5g,깨
깨 1g,깨
검은깨 1g,깨
검은깨(1g),깨
깨 2g,깨
깨(2g),깨
검은깨 5g,깨
검은깨 2g,깨
검은깨 1.25g,깨
"검은깨 8g(1⅔작은술)
고명
청국장가루 10g(1큰술)",깨 고명 청국장
깨소금 1.3g,깨소금
깨소금 1,깨소금
깨소금 0.5g,깨소금
깨소금 1g,깨소금
깨소금 2g,깨소금
깨소금 0.5,깨소금
깨소금 3g,깨소금
깻잎 2.5g,깻잎
깻잎(3장),깻잎
깻잎 6g,깻잎
깻잎(3g),깻잎
깻잎 10g(10장),깻잎
깻잎(6g),깻잎
깻잎 12장(20g),깻잎
깻잎(10장),깻잎
깻잎(2g),깻잎
깻잎(15g),깻잎
깻잎(20장),깻잎
깻잎(5장),깻잎
깻잎(10g),깻잎
깻잎(7.5g),깻잎
깻잎 10g,깻잎
깻잎(4장),깻잎
깻잎 5g,깻잎
깻잎(1g),깻잎
깻잎(2장),깻잎
깻잎 1.5g,깻잎
깻잎(20g),깻잎
깻잎(5g),깻잎
"깻잎(10g)
느타리버섯(15g)",깻잎 느타리버섯
"깻잎(10g)
당근(20g)",깻잎 당근
"깻잎(10g)
양파(20g)",깻잎 양파
"깻잎(1g)
육수 무(50g)",깻잎 육수 무
깻잎 3g [소스소개]저나트륨초고추장소스:고추가루 1g,깻잎 저나트륨초고추장소스고추
"깻잎(10g)
홍파프리카(20g)",깻잎 홍파프리카
"깻잎(5g)<br>
• [추가 재료] 두부(150g)",깻잎br 두부
깻잎순 3g,깻잎순
깻잎장아찌(30g),깻잎장아찌
꼬막 60g(꼬막살 20g),꼬막
"꼬치(3개)
- 소스 : 고추장(20g)",꼬치 소스 고추장
"꼬치용 꼬치 6개
●레몬 들깨 소스: 들깨가루 45g(3큰술)",꼬치용 꼬치 레몬 들깨 소스 들깨
