Original Ingredient,Cleaned Ingredient
마늘 8g,마늘
마늘 50g,마늘
다진 마늘(0.5Ts),마늘
마늘 2.5g,마늘
다진마늘 15g,마늘
다진 마늘 1.25g,마늘
마늘 10g,마늘
마늘(10쪽),마늘
다진 마늘(4g),마늘
마늘 1.4g,마늘
다진 마늘 3g,마늘
다진 마늘 2g(1/2쪽),마늘
다진마늘(10g),마늘
다진 마늘 2.5,마늘
마늘(4쪽),마늘
마늘 다진것 1g,마늘
"다진마늘 5g
곁들이장 : 어간장 15g",마늘 어간장
마늘 1g 고추장 10g,마늘 고추장
"마늘(20g)
고춧가루(10g)",마늘 고추
"마늘 10g
국물 : 다시마물 400g",마늘 다시마
다진 마늘 2 국물: 멸치다시마국물(물 300,마늘 멸치 다시마
"다진마늘 10g
국물 : 소고기 양지 75g",마늘 쇠고기
"다진마늘 2g
다진대파 2g",마늘 대파
"다진 마늘(10g)
로즈마리(2g)",마늘 로즈마리
"마늘(20g)
밀가루(20g)",마늘 밀
"마늘(10g)
버터(5g)",마늘 버터
"마늘(10g)
빵가루(10g)",마늘 빵
"마늘(10g)
소스 사과(20g)",마늘 사과
"다진마늘(10g)
- 소스 : 요거트(20g)",마늘 요거트
"마늘(10g)
식용유(10g)",마늘 식용유
"다진마늘 15g
애호박 25g",마늘 애호박
다진 마늘 4g - 양념 : 간장 10g,마늘 간장
"마늘(10g)
양념 저염된장(5g)",마늘 된장
"마늘(1g)
•양념장 : 고춧가루(4g)",마늘 고추
"마늘(0.1g)
•양념장 : 고춧가루(0.3g)",마늘 고추
"마늘(20g)
양파(20g)",마늘 양파
"다진 마늘(1g)
다진 양파(5g)",마늘 양파
"다진 마늘(0.5g)
다진 양파(0.5g)",마늘 양파
"다진 마늘(5g)
다진 양파(10g)",마늘 양파
"마늘(10g)
옥수수(20g)",마늘 옥수수
"마늘(10g)
우유(200g)",마늘 우유
"마늘(10g)
육수 닭뼈(90g)",마늘 닭
"마늘(10g)
참기름(5g)",마늘 참기름
"다진 마늘(10g)
참기름(5g)",마늘 참기름
"마늘(20g)
커리가루(30g)",마늘 강황
"다진 마늘(10g)
케첩(20g)",마늘 토마토
"다진 마늘(1g)
다진 토마토(50g)",마늘 토마토
"다진마늘(10g)
토마토(100g)",마늘 토마토
"다진마늘(3g)
•토마토고추장소스 : 토마토(35g)",마늘 토마토
"마늘(10g)
파프리카(20g)",마늘 파프리카
"다진마늘 15g
푸실리 50g",마늘 푸실리
마늘(20g)m 적양배추(20g),마늘 양배추
마늘다진것 3g,마늘
마늘다진것 1g,마늘
마늘다진것 0.2g,마늘
마늘다진것 4g,마늘
마늘다진것 2g,마늘
마늘다진것 0.5g,마늘
마늘다진것 1.3g,마늘
마늘다진것 1.2g,마늘
마늘다진것 0.8g,마늘
마늘다진것 2.5g,마늘
마늘다진것 1g[소스1]간장 1g,마늘 간장
마늘다진것 2g 리코타치즈:우유 125g,마늘 우유
마늘기름 15g,마늘기름
마늘기름 30g,마늘기름
"마늘기름 30g
소스 : 발사믹식초 30g",마늘기름 발사믹식초
"마늘기름 30g
흰후추 1g",마늘기름 후추
마늘오일 15g,마늘오일
"마늘오일 15g
곁들이야채 : 양파 25g",마늘오일 양파
마늘종(30g),마늘쫑
마늘즙 1g,마늘
마늘쫑 5g,마늘쫑
마늘칩 2g,마늘
"마늘튀김 15g
소스 : 홀그레인머스터드 15g",마늘 머스터드
마른 고추(3g),고추
마른 미역(1g),미역
마른 미역 10g),미역
"마른 미역(2g)
새알심 찹쌀가루(40g)",미역 찹쌀
"마른 새우(10g)
육수 무(15g)",새우 무
마른 표고버섯(3g),버섯
"마른 표고버섯(10g)
순두부(80g)",버섯 두부
"마른 표고버섯(10g)
양념장 저염간장(5g)",버섯 간장
마른 홍고추 1g(1/5개),고추
마른미역 5g,미역
마른미역줄기 10g,미역
마스카르포네치즈(35g),치즈
마스카포네치즈(12g),치즈
마요네즈(20g),마요네즈
마요네즈 2g,마요네즈
마요네즈(35g),마요네즈
마요네즈 15g,마요네즈
마요네즈(5g),마요네즈
마요네즈(15g),마요네즈
마요네즈(1Ts),마요네즈
마요네즈(30g),마요네즈
마요네즈 4g,마요네즈
마요네즈 15g(1큰술),마요네즈
마요네즈 3g,마요네즈
마요네즈(2.5g),마요네즈
마요네즈(12g),마요네즈
마요네즈(50g),마요네즈
마요네즈 12g,마요네즈
마요네즈 10g,마요네즈
마요네즈 1g,마요네즈
마요네즈 9g,마요네즈
마요네즈(2g),마요네즈
"마요네즈(20g)
- 곁들임채소 : 방울토마토(30g)",마요네즈 토마토
"마요네즈(20g)
머스터드소스 설탕(3g)",마요네즈 머스터드 설탕
"마요네즈(5g)
설탕(10g)
- 볶음간장 : 다시마(5g)",마요네즈 설탕 간장 다시마
마요네즈 5g[초대리] 식초 5g,마요네즈 식초
"마요네즈 20g(4작은술)
●장식 : 대추 5g(1개)",마요네즈 대추
"마요네즈(20g)
통조림 연어(1캔=130g)",마요네즈 연어
"마요네즈(20g)
파스리가루(0.3g)",마요네즈 파슬리
마카다미아 5g,마카다미아
막걸리(50g),막걸리
막걸리(100g),막걸리
만가닥버섯 25g,버섯
만두피(35g),만두피
만두피 75g,만두피
"만두피(20g)
저염간장양념 저염간장(2.5g)",만두피  간장
만송이버섯(50g),버섯
말린 매생이(10g),매생이
"말린 방울토마토 4~5개
(속재료) 시금치 50g",토마토 시금치
말린 자두(½컵),자두
"말린 자두(15g)
호두(15g)",자두 호두
말린 청양고추 0.5g,고추
말린 토마토 15g,토마토
말린 토마토(2개),토마토
"말린 홍고추(3g)
•오이초절임소스 : 양조식초(60g)",고추 식초
말린오미자(5g),오미자
맛간장 30g,간장
맛간장 5g,간장
맛간장 45g,간장
맛간장(2Ts),간장
맛간장 7g,간장
맛간장 15g,간장
맛간장 10g,간장
"맛간장 15g
소스 : 멸치간장 15g",멸치 간장
맛살 50g,맛살
맛살(135g),맛살
맛소금(1g),소금
맛술 3.75g,맛술
맛술 3.75,맛술
맛술 8g,맛술
맛술 5,맛술
맛술(0.3Ts),맛술
맛술 0.4g,맛술
맛술(7.5g),맛술
맛술 1.25,맛술
맛술(1T),맛술
맛술(2g),맛술
맛술 2.5,맛술
맛술 15,맛술
맛술(3Ts),맛술
맛술(3g),맛술
맛술 5g,맛술
맛술(10g),맛술
맛술(8g),맛술
맛술(5g),맛술
맛술 2g,맛술
맛술 0.5g,맛술
맛술(15g),맛술
"맛술(10g)
설탕(10g)",맛술 설탕
"맛술(10g)
양파(20g)",맛술 양파
"맛술(10g)
저염간장(20g)",맛술 간장
망고(1/2개),망고
망고 150g,망고
망고퓨레(20g),망고
망고퓨레(50g),망고
매생이 20g,매생이
매생이 15g,매생이
매생이 120g,매생이
매생이 30g,매생이
매실원액 15g(1큰술),매실
매실농축액 5g,매실
매실식초(2ts),매실식초
매실액 2.5g,매실
매실액 2g(1/3작은술),매실
매실액 5g,매실
매실액 3,매실
매실액 4.5,매실
매실액 10g(2작은술),매실
매실액 2g,매실
매실액 6g,매실
매실액 1.5,매실
"매실액(10g)
대파 다진것(20g)",매실 대파
매실엑기스 5g,매실
매실장아찌 15g,매실장아찌
매실청 10g,매실
매실청 15g,매실
매실청 30g,매실
매실청 3g,매실
"매실청(0.2g)
•양념 : 천일염(0.1g)",매실 천일염
맥주 400g,맥주
머스타드 2g,머스타드
머스타드(17g),머스타드
머스터드 1g,머스터드
머스터드(10g),머스터드
머스터드(3g),머스터드
머스터드(20g),머스터드
머스터드 3g(2/3작은술),머스터드
머스터드(50g),머스터드
"머스터드(20g)
- 곁들임 : 어린잎(10g)",머스터드 새싹
머스터드 씨드 2.5g,머스터드 씨드
머스터드 파우더 0.5g,머스터드
머스터드소스(15g),머스터드
머스터드소스 설탕(3g),머스터드 설탕
머스터드조스(1.5g),머스터드
머윗대(100g),머윗대
먹물(10g),먹물
"먹물 가루 30g 
(속재료) 토마토 250g",먹물 토마토
먹물파스타 25g,먹물파스타
멍게살 50,멍게살
메닐튀밥 10g,메밀
메밀가루 20g,메밀
메밀가루 50g,메밀
메밀면 80g,메밀면
메밀면(90g),메밀면
메밀면(70g),메밀면
메밀면(120g),메밀면
메밀면(100g),메밀면
메밀묵(50g),메밀묵
메이플시럽 3g,메이플시럽
메주콩(5g),콩
메추리알(100g),메추리알
메추리알 30g(3개),메추리알
메추리알 30g,메추리알
메추리알(5개),메추리알
메추리알 25g,메추리알
메추리알 100g,메추리알
메추리알(3개),메추리알
메추리알(20g),메추리알
"메추리알(35g)
•숙성 : 소금(0.2g)",메추리알 소금
"삶은 메추리알(15g)
양념 참기름(5g)",메추리알 참기름
멕시코고추 1g,고추
멜론 110g,멜론
멜론 300g,멜론
멜론 30g,멜론
멥쌀(50g),쌀
멥쌀가루(112g),쌀
멥쌀(60g),쌀
멸치(2.5g),멸치
멸치(7~8마리),멸치
멸치(2g),멸치
멸치(10g),멸치
멸치(20g),멸치
멸치(1g),멸치
멸치(5g),멸치
멸치 5g,멸치
멸치 60g(10개),멸치
"멸치(10g)
마늘(10g)",멸치 마늘
멸치 육수 50g,멸치 육수
- 멸치견과류쌈장 : 다시마국물 10g,멸치 견과류 쌈장 다시마
"멸치다시마육수(300g)
양념 들기름(10g)",멸치 다시마 들기름
멸치액젓(5g),멸치액젓
멸치액젓 0.2g,멸치액젓
멸치액젓 0.1g,멸치액젓
멸치액젓 3g(2/3작은술),멸치액젓
멸치육수 150g,멸치육수
멸치육수 200g,멸치육수
●멸치육수 : 국물용 멸치 5g(3마리),멸치
멸치중간것 10g,멸치
명란젓 50g,명란젓
명태(150g),명태
모시조개 15,조개
모시조개 150g(3/4컵),조개
모시조개 15g,조개
모시조개(50g),조개
모시조개(6개),조개
모시조개 200g,조개
모짜렐라 치즈 50g,치즈
모짜렐라 치즈 12g,치즈
모짜렐라 치즈 7g,치즈
모짜렐라 치즈 10g,치즈
모짜렐라치즈(40g),치즈
모짜렐라치즈(50g),치즈
모짜렐라치즈(20g),치즈
모짜렐라치즈(10g),치즈
모짜렐라치즈 30g,치즈
"모짜렐라치즈(20g)
- 곁들임 : 어린잎(10g)",치즈 새싹
"모짜렐라치즈(20g)
- 닭가슴살 : 닭살(100g)",치즈 닭
"모짜렐라치즈(10g)
- 소스 : 양파(20g)",치즈 양파
모차렐라 치즈(1컵=100g),치즈
모차렐라치즈(30g),치즈
모차렐라치즈(15g),치즈
목이버섯(10g),버섯
목이버섯(3g),버섯
목이버섯 0.4g,버섯
목이버섯 5g,버섯
목이버섯 3g,버섯
목이버섯 10g,버섯
무 35g(1/20개),무
무(100g),무
무,무
무(150g),무
무30g,무
무 250g(1/3개),무
무(50g),무
무 5g,무
무(6g),무
무(20g),무
무 50g,무
무 10g(2cm),무
무 60g,무
무(40g),무
무(10g),무
무 8g,무
무 100g,무
무 10g,무
무 5g(5cm),무
무 30g,무
무(70g),무
무 30g(5×3×2cm),무
무(30g),무
무 20g,무
무 40g,무
무 15g,무
무(80g),무
"무(20g)
- 양념장 : 저염간장(20g)",무 간장
"무(20g)
양파(10g)",무 양파
"무(50g)
양파(20g)",무 양파
"무 25g
육수 : 해물육수 300g",무 해물육수
"무(5g)
•절임물 : 해물육수(8g)",무 해물육수
무 16g [소스소개] 찜소스:다시마국물 100g,무 다시마
무가당 두유(2컵),두유
무가당 아보카도 마요네즈(2Ts),아보카도 마요네즈
무가당 코코아 파우더(3g),코코아
무가당 플레인 요거트(2Ts),요거트
무가당 휘핑크림 25g,휘핑크림
무가당 휘핑크림(50g),휘핑크림
무말랭이 10g,무
무순 3g,무순
무순 5,무순
무순(20개),무순
무순 20g,무순
무순(3g),무순
무순(⅓줌),무순
무순 1g,무순
무순(2g),무순
무순 10g,무순
무순(10g),무순
무순(8g),무순
무순 2g,무순
"무순(5g)
닭고기 삶는 재료 된장(3g)",무순 된장
"무순(5g)
- 밀전병 : 단호박(100g)",무순 밀전병 단호박
"무순 약간
●마늘 드레싱 : 사과식초 30g(2큰술)",무순 마늘 식초
무염 버터(20g),버터
무염 버터 10g,버터
무염 치즈(15g),치즈
무염버터 54g,버터
무염버터 5g,버터
무염버터 30g,버터
"무염버터 5g(1작은술)
고명
시금치 10g(3줄기)",버터 시금치
무우 40g,무
무장아찌(20g),무장아찌
무첨가두유(200g),두유
무청 3g,무청
무청시래기(삶은 것,무청
무청시래기 불린 것 50g,무청
무화과(20g),무화과
묵은지 20g,묵은지
[ 2인분 ] 묵은지(¼포기),묵은지
묵은지(200g),묵은지
묵은지(100g),묵은지
묵은지(15g),묵은지
문어(100g),문어
문어 3g,문어
문어 50g,문어
문어(20g),문어
물 30ml(2큰술),""
물(300g),""
물 2.5g,""
물 15ml(1큰술),""
물 10ml,""
물 2g,""
물 100g,""
물 4g,""
물 140g,""
물 20,""
물(4컵=800g),""
물(10g),""
(육수) 물 500ml,""
물(25g),""
물 35g,""
물 220ml,""
물(2컵=400g),""
물 30g,""
물 70g,""
물(140g),""
물 400g,""
물(5g),""
물(8g),""
물 90g,""
물(165g),""
물 2ml,""
물(100g),""
물(400g),""
물(17g),""
물 6.6g,""
물(15g),""
물 30ml,""
물 92g,""
물 120ml,""
물 20g,""
물 2ml(1/3작은술),""
물(150g),""
물 100ml,""
물 75g,""
물(180g),""
물 3g,""
물 40.5g,""
물 150ml,""
물 10g),""
물 150g,""
물 50g,""
물(3Ts),""
물 12g,""
물(50g),""
물 300g,""
물 375ml(바게트반죽용),""
물100g,""
물(1260ml),""
물 700g,""
물 15g,""
물 450),""
물 8g,""
물 300ml(1½컵),""
물 40ml,""
물(45g),""
"물 50ml""",""
물 250ml,""
물(250g),""
물(350g),""
물 200g,""
물(27g),""
물 200,""
물(3T),""
물 (40g),""
물(20㎖),""
물 500,""
물 5g),""
물 40g,""
물(½컵),""
물(30g),""
물 10g,""
물 5g,""
물(3컵=600g),""
물 15ml,""
물 50ml(1/4컵),""
물(80g),""
물(40g),""
물 45g,""
물 250g,""
물 300ml,""
물 60g,""
물 25,""
물 180g,""
물 30m,""
물 18g<br /> 이탈리안시즈닝:타임 0.9g,타임
물 120g 간장 2g,간장
"물 170ml 
(속재료) 고구마 3~4개",고구마
"물(500g)
된장양념 콩가루(1g)",콩
"물(50g)
다진 마늘(10g)",마늘
"물(30g)
•밑간 : 후춧가루(1g)",후추
"물 150g 
(속재료) 삶은 밤고구마 380g",밤고구마
물 400g - 부추양념장 : 다시마국물 5g,다시마
"물 200g
브로콜리 50g",브로콜리
물 17g 황설탕 7g,설탕
"물 200g
소스 : 된장 15g",된장
물 약간,""
물 100g - 양념 : 거피들깨가루 6g,들깨
"물(300g)
•양념 : 된장(1g)",된장
"물(300g)
양념 된장(10g)",된장
"물(300g)
•양념 : 들깻가루(2g)",들깨
"물(400g)
양념 다진 마늘(5g)",마늘
"물(400g)
양념 다진 마늘(2g)",마늘
"물(500g)
양념 다진 마늘(10g)",마늘
"물(150g)
양념 다진 마늘(3g)",마늘
"물(300g)
양념 미소된장(3g)",된장
"물(60g)
•양념 : 소금(3g)",소금
"물(5g)
•양념 : 옥수수전분(5g)",옥수수전분
"물(300g)
양념 저염간장(10g)",간장
물(300g) 양념: 저염간장(10g),간장
"물(250g)
•양념 : 저염된장(5g)",된장
"물(300g)
양념 참기름(10g)",참기름
"물(250g)
•양념 : 참기름(1g)",참기름
"물(600g)
•양념 : 후추(5g)",후추
"물(300g)
양념장 고춧가루(1g)",고추
"물(200g)
•양념장 : 설탕(0.5g)",설탕
"물(26g)
다진 양파(10g)",양파
"물 50ml
(토핑) 저염치즈 200g",치즈
"물 300ml(1½컵)
●채소준비 : 청경채 20g(1개)",청경채
물 20g [소스소개] 초간장:간장 2g,간장
"물 236g 

(속재료) 카카오 닙스 94g",카카오
"물 200ml(찰반죽용)
(속재료) 크림치즈 200g",치즈
"물 100ml
(소스) 토마토 150g",토마토
"물(300g)
토마토소스 토마토(200g)",토마토
물 100g 홍시드레싱 : 홍시 30g,홍시
물김치국물 200g,깁치국물
물녹말(녹말가루5g,녹말
물미지근한것 1g,""
물밤다진것 15g,밤
물엿 3g,물엿
물엿 20g,물엿
물엿(3g),물엿
물엿 1g,물엿
물엿 3g(2/3작은술),물엿
물엿 2g,물엿
물엿 10g,물엿
물엿(50g),물엿
물엿 50g(1/4컵),물엿
물엿 6g,물엿
물엿(20g),물엿
물엿(5g),물엿
물엿 6,물엿
물엿 5g,물엿
물오징어 25g,오징어
물전분 6g,전분
물전분 4g,전분
물전분 2g,전분
물전분 10g,전분
물전분 4g[간장소스]멸치육수 50g,전분 멸치
물전분 약간,전분
물파래 5g,파래
물필요량,""
미나리 10g,미나리
미나리(½줌),미나리
미나리 3g,미나리
미나리(⅓줌=50g),미나리
미나리(20g),미나리
미나리 25g,미나리
미나리 18g,미나리
미나리(50g),미나리
미나리(30g),미나리
미나리 12g,미나리
미나리 20g,미나리
미나리(10g),미나리
미나리 13g,미나리
데친 미나리(2g),미나리
미나리 1g,미나리
미나리 5g,미나리
미나리 1.0g,미나리
미나리(15g),미나리
미나리(3g),미나리
미나리 50g,미나리
미나리 15g,미나리
미나리(5g),미나리
"미나리 30g
●소스 : 고추장 5g(1작은술)",미나리 고추장
"미나리 20g
양념장 : 맛간장 25g",미나리 간장
"미나리 20g
양념장 : 저염간장 15g",미나리 간장
"미나리(5g)
육수 다시마(2g)
양념 생청국장(30g)",미나리 다시마 청국장
미나리 3g 주먹밥 데친꼬막살 12g,미나리 밥 꼬막
"미나리(3g)
주먹밥 데친 꼬막살(14g)",미나리 밥 꼬막
미나리잎장식,미나리
미니,""
미니 단호박(2개),단호박
미니 단호박 250g,단호박
미니 단호박(70g),단호박
미니 단호박(½개),단호박
"미니
양배추(5개)",양배추
미니단호박(120g),단호박
미니버섯(120g),버섯
미니사과 30g,사과
미니새송이(20g),버섯
미니새송이버섯 60g(7개),버섯
미니양배추(11g),양배추
미니파프리카 30g,파프리카
미니파프리카 40g,파프리카
미니파프리카 25g,파프리카
미니파프리카 20g,파프리카
미더덕(10g),미더덕
미림(20g),미림
미림 15g,미림
미림 5g,미림
미림 2g,미림
미소된장 30g,된장
미소된장 5g,된장
미숫가루10g,미숫가루
미숫가루 150g,미숫가루
미숫가루(10g),미숫가루
미숫가루 70g,미숫가루
미숫가루(50g),미숫가루
미숫가루 10g,미숫가루
미숫가루 15g,미숫가루
미역(20g),미역
미역 5g,미역
미역 10g,미역
[ 4인분 ] 미역 줄기(1팩=300g),미역
미역마른것 3g,미역
미역마른것 5g,미역
미향(0.3g),미향
미향 6g,미향
미향 1g,미향
믹서에 갈아줌,""
민트 0.1g,민트
민트,민트
민트 1g,민트
민트 0.25g[소스소개] 고추냉이 드레싱:고추냉이 갠것 6g,민트 고추냉이
민트잎(5g),민트
민트장식용,민트
밀가루(6g),밀
밀가루 4g,밀
밀가루(10g),밀
밀가루(75g),밀
밀가루 0.5g,밀
밀가루 1.7g,밀
밀가루 30g,밀
밀가루(50g),밀
밀가루 5.3g,밀
밀가루 16g,밀
밀가루 20g,밀
밀가루 10g,밀
밀가루 8g,밀
밀가루 5g,밀
밀가루 1.2g,밀
밀가루(30g),밀
밀가루(180g),밀
밀가루(100g),밀
밀가루 50g,밀
밀가루 15g,밀
밀가루 1.6g,밀
밀가루(20g),밀
밀가루(200g),밀
밀가루(15g),밀
밀가루(5g),밀
밀가루 70g,밀
밀가루 100g,밀
밀가루 3g,밀
밀가루 6g,밀
밀가루 40g,밀
밀가루 7g,밀
"밀가루 30g
국물 : 바지락 100g",밀 바지락
"밀가루(20g)
달걀(50g)",밀 달걀
"밀가루 25g(2큰술)
●소스 : 유자청 20g(1⅓큰술)",밀 유자청
"밀가루 5g
소스 : 홀스레디쉬 30g",밀 홀스레디쉬
"밀가루 15g
식용유 200g",밀 식용유
"밀가루(20g)
육수 다시마(1g)",밀 다시마
"밀가루(15g)
육수 돼지고기(앞다리살",밀 돼지고기
밀가루 4g[소스소개]저나트륨발사믹소스:간장 1g,밀 간장
밀가루 1.1g [소스소개] 토마토케첩소스:마늘다진것 1.1g,밀 마늘
밀가루박력분 10g,밀
밀가루중력분 80g,밀
바게트(약간),바게트
바게트(1/4개),바게트
바게트(2조각),바게트
바나나(1½개),바나나
바나나 40g,바나나
바나나 180g,바나나
바나나(2개),바나나
바나나(30g),바나나
바나나(50g),바나나
바나나(100g),바나나
바나나(1개),바나나
바나나(½개),바나나
바나나 20g,바나나
바나나(10g),바나나
바나나(80g),바나나
바나나(1/2개),바나나
바나나 50g,바나나
바나나(20g),바나나
바나나(17g),바나나
바나나 10g,바나나
"바나나 50g
고명 : 브로콜리 15g",바나나 브로콜리
"바나나슬라이스 
(버터크림재료) 삶은 자색고구마 190g",바나나 고구마
바나나식초(80g),바나나식초
바닐라빈(1g),바닐라빈
바닐라에센스 0.1g,바닐라빈
바닐라향(1g),""
바지락 3g,바지락
바지락(100g),바지락
바지락(50g),바지락
바지락(4개),바지락
바지락 100g,바지락
바지락 100(바지락살 50),바지락
바지락 30g,바지락
바지락 4g,바지락
바지락 10g,바지락
바지락 60g,바지락
바지락(모시조개( 200g(30개),바지락
"바지락(30g)
저염된장(10g)",바지락 된장
바지락살 20g,바지락
바지락살 10g,바지락
바지락살 25g,바지락
바질가루(0.5Ts),바질
바질(0.25g),바질
바질 2g,바질
바질(4장),바질
바질가루(0.5t),바질
바질 2.5g,바질
바질(3g),바질
바질 5g,바질
바질(3장),바질
바질가루 5g,바질
바질(5g),바질
바질 8g,바질
바질(5장),바질
바질 50g,바질
"3장)
바질가루(1g)",바질
바질(10g),바질
바질 3g,바질
바질 1g,바질
바질 0.5g,바질
바질가루(0.1g),바질
바질 1.2g,바질
바질 약간,바질
바질 잎(2g),바질
바질 페스토 30g,바질
바질다진것 1g,바질
바질다진것 0.6g,바질
바질럽드(3Ts),바질
바질마른것 1g,바질
바질마른것 약간 [살사] 배 3g,바질 배
바질약간,바질
바질잎(3~4장),바질
바질잎(4장),바질
바질잎 1g,바질
바질잎(2장),바질
바질페스토(3ts),바질
바케트빵 6g,바게트
박력분(50g),밀
박력분(15g),밀
박력분 30g,밀
박력분(30g),밀
박력분(35g),밀
박력분(45g),밀
박력분(150g),밀
박력분(65g),밀
박력분 90g,밀
박력분 70g,밀
박력분(2g),밀
반죽: 찹쌀(30g),쌀
발사믹소스(100g),발사믹소스
발사믹소스(50g),발사믹소스
"발사믹소스(20g)
- 곁들임채소 : 아스파라거스(20g)",발사믹소스 아스파라거스
"발사믹소스(100g)
양파(20g)",발사믹소스 양파
발사믹식초 15g,발사믹식초
발사믹식초(10g),발사믹식초
발사믹식초 30g,발사믹식초
발사믹식초 4g,발사믹식초
발사믹식초 6g,발사믹식초
발사믹식초 10g,발사믹식초
발사믹식초 60g(4큰술),발사믹식초
발사믹식초 1g,발사믹식초
발사믹식초(5g),발사믹식초
발사믹식초 10g(2작은술),발사믹식초
"발사믹식초 30g
곁들이김치 : 명이김치 25g",발사믹식초 명이김치
발사믹크레마 15g(1큰술),발사믹크림
발사믹크림 5g,발사믹크림
발효겨자(28g),겨자
밤(25g),밤
밤 20g,밤
밤 15g,밤
밤 10g,밤
밤 5g,밤
밤(20g),밤
밤 40g,밤
밤(30g),밤
밤(10g),밤
밤(200g),밤
밤 12g,밤
"밤 60g
소스 : 유자청 25g",밤 유자청
삶은 밤고구마 100g,고구마
밤고구마 130g,고구마
밤고구마(65g),고구마
밥(150g),쌀
밥 10g,쌀
밥 50g,쌀
밥 180g(1컵),쌀
밥(50g),쌀
밥 120g,쌀
밥 20g,쌀
밥 40g,쌀
밥(200g),쌀
밥(180g),쌀
밥(210g),쌀
밥 30g(쌀 13g),쌀
밥 80g,쌀
밥 60g,쌀
밥 140g,쌀
밥 180g,쌀
밥 180,쌀
밥 100g,쌀
밥 150g,쌀
밥(100g),쌀
밥(400g),쌀
밥 70g,쌀
"밥(50g)
감자(50g)",쌀 감자
"밥(30g)
대파(10g)",쌀 대파
밥 밑간 참기름(4g),쌀 참기름
밥 밑간 참기름(5g),쌀 참기름
"밥(150g)
새싹채소(10g)",쌀 새싹채소
볶음밥 쌀(100g),쌀
"밥(200g)
채 썬 쇠고기(우둔살",쌀 쇠고기
밥패티 : 찹쌀(100g),쌀
방아잎(⅓줌=30g),방아
방울토마토 60g,토마토
방울토마토(100g),토마토
방울토마토(80g),토마토
방울토마토 15g,토마토
방울토마토(2개),토마토
방울토마토(4개),토마토
방울토마토(60g),토마토
방울토마토 25g,토마토
방울토마토(10g),토마토
방울토마토 3g,토마토
방울토마토 40g(4개),토마토
[ 2인분 ] 방울토마토(4개),토마토
방울토마토(200g),토마토
방울토마토 4개,토마토
방울토마토 10g,토마토
방울토마토 100g,토마토
방울토마토 30g,토마토
방울토마토(5개=50g),토마토
방울토마토(35g),토마토
방울토마토(30g),토마토
방울토마토 200g,토마토
방울토마토 8g,토마토
방울토마토 200,토마토
방울토마토 18g,토마토
방울토마토 20g,토마토
방울토마토 100g(10개),토마토
방울토마토(1개),토마토
방울토마토(20g),토마토
방울토마토(50g),토마토
방울토마토(5개),토마토
방울토마토(6~7개=50g),토마토
"방울토마토 80g
단호박 100g",토마토 단호박
"방울토마토 100g
마늘 100g",토마토 마늘
"방울토마토(40g)
배사과소스 배(30g)",토마토 배
"●방울토마토 소박이 : 
방울토마토 150g(5개)",토마토
"방울토마토 40g
소스 : 요거트 50g",토마토 요거트
방울토마토(20g) 소스 통계피(20g),토마토 계피
"방울토마토(50g)
올리브오일(10g)",토마토 올리브오일
"방울토마토(60g)
육수 무(20g)",토마토 무
배 750g,배
배(20g),배
배 80g(1/4개),배
배 2.2g,배
배(30g),배
배 80g,배
배 10g,배
배 400g,배
배 40g,배
배(50g),배
배 3.0g,배
배 50g,배
배(10g),배
배 5g,배
배 30g,배
배 25g,배
배 15g,배
배(1/4개),배
배 12g,배
배(80g),배
배(60g),배
배 1.5g,배
배(12g),배
배 20g,배
배 10g(2cm),배
배(1/2개),배
배(1개),배
"배(5g)
다진 양파(5g)",배 양파
배 7.5g [소스소개] 저나트륨파인애플소스:파인애플 3g,배 파인애플
배즙 2.5g,배
배즙 5g,배
배즙 37.5,배
배추 50g,배추
배추 7g,배추
"""배추 17g",배추
배추(100g),배추
배추(5장),배추
배추(30g),배추
배추(20g),배추
배추 10g,배추
배추 30g,배추
배추(6장),배추
배추 200g(1/3개),배추
배추(60g),배추
배추 20g,배추
배추(50g),배추
배추김치(줄기부분) 30,배추김치
배추김치 30g,배추김치
배추김치 20g,배추김치
배추김치 18g,배추김치
배추잎 2.5g,배추
배추잎 50g,배추
배추잎(5장),배추
배춧잎(2장),배추
배춧잎(5장),배추
배춧잎(6장),배추
배춧잎(1장),배추
백김치 25g,백김치
백김치(50g),백김치
백김치 30g,백김치
백김치(100g),백김치
"백김치 50g
●백김치 무침양념 : 참기름 15g",백김치 참기름
"백김치(40g)
비트(40g)",백김치 비트
백년초가루(20g),백년초
백년초가루(2g),백년초
백년초 가루 2g,백년초
백년초가루(3.5g),백년초
백년초(30g),백년초
백년초가루(30g),백년초
"백년초가루(10g)
호박가루(10g)",백년초 호박
백년초국수(20g),백년초국수
백련초가루 1g,백년초
백만송이버섯 2.5g,버섯
백목이버섯(3g),버섯
백미(20g),쌀
백미 150g,쌀
백새우 40g,새우
백앙금(25g),백앙금
백일송이 25g,버섯
"백일송이 25g
국물 : 채소국물 8컵(표고버섯",버섯 채소
"백일송이 25g
다진마늘 15g",버섯 마늘
백일송이버섯 25g,버섯
"백일송이버섯볶음
백일송이버섯 65g(1컵)",버섯
백후추 1g,후추
백후추(1g),후추
백후춧가루(약간),후추
백후춧가루(0.3Ts),후추
버거빵 12g,빵
버섯가루(1Ts),버섯
"버섯볶음
새송이버섯 100g(3개)",버섯
●버섯구이 : 새송이버섯 70g(7개),버섯
