부추 콩가루 찜,부추 콩가루 찜,"['', '참기름', '참깨', '부추', '마늘', '대파', '고추']","['Chilly', 'Other grains', 'Chives', 'Green onion', 'Garlic']"
파인애플볶음밥,파인애플볶음밥,"['', '파프리카', '양파', '간장', '마늘', '레몬소금', '파인애플', '깨', '계란', '새우', '쌀']","['Other shellfish', 'Other fruits', 'Beans', 'Other seasonings', 'Onion', 'Other grains', 'Eggs', 'Other fruiting vegetables', 'Shrimp', 'Rice', 'Garlic']"
연근초무침,연근초무침,"['', '설탕', '오이', '양파', '강항', '잣', '연근', '식초']","['Cucumber', 'Other root vegetables', 'Onion']"
코다리맑은찜,코다리맑은찜,"['', '미나리', '후추', '생강', '마늘', '콩나물', '코다리', '겨자', '깨', '함초 소금', '무', '함초']","['Radish', 'Beans', 'Other seasonings', 'Other seafood', 'Other grains', 'Other fish', 'Garlic']"
뿌리채소두부선,뿌리채소두부선,"['', '들기름', '땅콩', '마늘기름', '참깨', '인삼', '감자', '고추', '계란', '두부', '식초', '전분']","['Beans', 'Other seasonings', 'Chilly', 'Other grains', 'Potato', 'Eggs', 'Peanut', 'Other root vegetables', 'Garlic']"
사과장아찌,사과장아찌,"['', '설탕', '매실', '사과', '양파', '고추', '식초', '생강']","['Apple', 'Chilly', 'Other fruits', 'Onion']"
해물들깨탕,해물들깨탕,"['', '주꾸미', '간장', '마늘', '대파', '전복', '고추', '계란', '새우']","['Other shellfish', 'Garlic', 'Beans', 'Other seasonings', 'Abalone', 'Chilly', 'Eggs', 'Green onion', 'Shrimp', 'Other mollusks']"
참외깍두기,참외깍두기,"['', '참외', '양파', '마늘', '대파', '고추', '깨', '생강']","['Other fruits', 'Chilly', 'Onion', 'Other grains', 'Green onion', 'Garlic']"
새콤한연어샐러드,새콤한연어샐러드,"['', '토마토', '양파', '소금', '감식초', '연어', '새싹']","['Tomato', 'Other fruits', 'Other fish', 'Onion']"
논우렁순무섞박지,논우렁순무섞박지,"['', '우렁', '미나리', '양파', '간장', '마늘', '고추', '콜라비', '요거트', '생강']","['Other shellfish', 'Beans', 'Other seasonings', 'Onion', 'Chilly', 'Garlic']"
코다리맑은탕,코다리맑은탕,"['', '후추', '양파', '간장', '코다리', '감자', '버섯', '무']","['Radish', 'Beans', 'Other seasonings', 'Onion', 'Potato', 'Other fish']"
세가지샐러드,세가지샐러드,"['', '토마토', '생크림', '닭', '후추', '설탕', '잣', '흑임자', '두부', '요거트', '파프리카']","['Beans', 'Other seasonings', 'Tomato', 'Other fruiting vegetables', 'Chicken', 'Other dairy products']"
애호박들깨볶음,애호박들깨볶음,"['', '들기름', '애호박', '양파', '소금', '마늘']","['Garlic', 'Other grains', 'Other fruiting vegetables', 'Onion']"
고구마바나나샐러드,고구마바나나샐러드,"['', '연유', '고구마', '바나나', '요거트']","['Banana', 'Sweet potato', 'Milk']"
누룽지새우튀김,누룽지새우튀김,"['', '설탕', '소금', '계란', '새우', '쌀']","['Other shellfish', 'Eggs', 'Shrimp', 'Rice']"
백김치주꾸미샐러드,백김치주꾸미샐러드,"['', '백김치', '파', '레몬', '주꾸미', '양파', '마늘', '식초']","['Other fruits', 'Garlic', 'Chilly', 'Onion', 'Other herbage crop', 'Green onion', 'Other mollusks']"
닭고기월남쌈,닭고기월남쌈,"['', '오이', '닭', '로즈마리', '녹말', '양파', '고추', '파프리카']","['Chilly', 'Onion', 'Other herbage crop', 'Other fruiting vegetables', 'Cucumber', 'Chicken']"
