바나나핫케이크,바나나 핫케이크 만들기,"['', '계란', '블루베리', '바나나', '소금']","['Eggs', 'Banana', 'Other fruits']"
딸기잼오트밀쿠키바,딸기잼 오트밀 쿠키바,"['설탕', '버터', '', '오트밀', '밀', '소금']","['Wheat', 'Butter', 'Other grains']"
매실청고추장불고기,매실청 고추장 불고기,"['', '고추', '고추장', '마늘', '돼지고기', '파', '양파']","['Onion', 'Beans', 'Chilly', 'Wheat', 'Pork', 'Garlic']"
돼지고기목이버섯볶음밥,돼지고기목이버섯볶음밥,"['', '참기름', '호박', '당근', '후추', '양배추', '간장', '굴소스', '기름', '돼지고기', '파', '양파', '쌀', '소금']","['Onion', 'Beans', 'Other seasonings', 'Other grains', 'Pepper', 'Rice', 'Other root vegetables', 'Pork', 'Oyster', 'Other fruiting vegetables', 'Other herbage crop']"
무청시래기된장지짐이,무청시래기된장지짐!,"['', '고추', '된장', '쌀', '마늘', '멸치', '무']","['Beans', 'Chilly', 'Other fish', 'Wheat', 'Garlic', 'Radish', 'Rice']"
묵은지청국장,[하루한끼] 묵은지청국장,"['고추', '청국장', '김치', '마늘', '멸치', '파', '두부', '양파', '쌀']","['Onion', 'Beans', 'Chilly', 'Other fish', 'Rice', 'Wheat', 'Garlic', 'Other herbage crop']"
복숭아잼식빵파이,"복숭아잼만 있으면, 초간단 복숭아 식빵피자!","['', '설탕', '빵', '치즈', '복숭아', '아몬드']","['Peach', 'Butter', 'Wheat', 'Eggs', 'Cheese']"
아보카도비트연어샐러드,아보카도 비트 연어샐러드,"['', '치커리', '후추', '꿀', '올리브유', '아보카도', '파프리카', '양상추', '연어', '비트', '소금']","['Honey', 'Pepper', 'Other fish', 'Other root vegetables', 'Other fruiting vegetables', 'Other herbage crop']"
어묵콥샐러드,콥샐러드,"['옥수수', '', '계란', '치즈', '닭', '올리브유', '아보카도', '토마토']","['Chicken', 'Other fruiting vegetables', 'Corn', 'Tomato', 'Eggs', 'Cheese']"
새송이버섯떡갈비솥밥,솥밥 레시피 새송이버섯 떡갈비 솥밥,"['', '참기름', '멸치', '간장', '버섯', '쌀', '떡갈비']","['Beans', 'Other grains', 'Other fish', 'Pork', 'Rice']"
토마토계란볶음밥,게살 토마토 달걀볶음밥(게살 토마토 계란볶음밥),"['', '참기름', '계란', '맛살', '토마토', '마늘', '파', '간장', '쌀', '소금']","['Garlic', 'Beans', 'Other grains', 'Tomato', 'Crab', 'Other fish', 'Eggs', 'Rice']"
새우아보카도샌드위치,건강한 한끼! 쉬림프아보카도샌드위치/새우아보카도샌드위치,"['', '새우', '빵', '계란', '후추', '아보카도', '마요네즈', '양파']","['Shrimp', 'Onion', 'Butter', 'Pepper', 'Wheat', 'Eggs', 'Other fruiting vegetables']"
딸기생크림케이크,딸기생크림케이크,"['설탕', '초콜릿', '', '생크림', '딸기']","['Other dairy products', 'Other fruits']"
대파크림치즈베이글샌드위치,대파 크림치즈 베이글 샌드위치 만들기!,"['빵', '치즈', '꿀', '파', '햄']","['Honey', 'Butter', 'Wheat', 'Pork', 'Eggs', 'Cheese']"
