name,food_name,ingredients
소떡만두강정,♥[신혼밥상] 소떡만두강정,"['비엔나소세지', '조랭이떡', '물만두', '캐첩', '굴소스', '간장', '식초', '설탕', '다진마늘']"
마늘닭가슴살볶음밥,마늘닭가슴살 볶음밥 한그릇요리,"['닭가슴살', '대파', '청량고추', '다진마늘', '현미밥']"
참치모닝빵샌드위치,참치모닝빵샌드위치,"['모닝빵', '참치(150g)', '달걀', '다진양파', '오이피클', '빨강파프리카', '초록파프리카', '노랑파프리카', '주황파프리카', '피자치즈', '파슬리', '계란 노른자', '마요네즈', '숙성 치즈', '마요네즈', '허니머스타드', '소금', '후춧가루']"
고구마치즈머핀,고구마 치즈머핀,"['크림치즈', '버터', '설탕', '달걀', '박력분', '아몬드 가루', 'b.p', '플레인 요거트', '아몬드슬라이스', '밤고구마']"
참치비빔밥고추장,밥도둑 간단 5분 요리 참치 비빔밥 고추장 볶음 레시피,"['참치', '간장', '설탕', '고추장', '고추가루', '참기름']"
국물치즈떡볶이,국물치즈떡볶이,"['떡국', '양파', '대파', '소시지', '치즈', '고추장', '고춧가루', '설탕', '올리고당', '간장', '다진마늘', '후추약간']"
항암영양밥,항암영양밥 만들기 양배추. 참송이버섯. 당근,"['양배추', '당근', '참송이 버섯', '찰현미']"
계란참치김밥,초간단 계란참치김밥 만들기!,"['김밥김', '밥', '김밥 단무지', '김밥햄', '계란', '참치캔', '소금', '깨소금', '참기름', '마요네즈']"
매운간장닭강정,매운 간장 닭강정 만들기,"['닭다리', '후추', '소금', '튀김가루', '차가운 생수', '떡볶이떡(밀떡볶이떡)', '간장', '청주', '물엿', '설탕', '물', '다진마늘', '청양고추']"
대구두부샐러드,"[해양수산부 이달의 수산물 11월] 연두부와 대구로 만든 고단백 영양식, 대구두부샐러드","['대구', '다진 대파', '다진 양파', '칠리 소스', '참기름', '연두부', '다진 샐러리', '다진 생강', '느억맘 소스']"
클램차우더스프,클램 차우더 스프(clam chowder soup) 만들기 ,"['감자 (3개)', '양파', '당근', '조갯살', '월계수잎', '물', '치킨스톡', '생크림', '물', '화이트루- 버터', '박력분', '우유']"
조랭이떡떡꼬치,간편하게 만드는 조랭이떡 떡꼬치 만들기,"['조랭이떡', '다진 마늘', '간장', '케첩', '올리고당', '설탕', '매실액', '고추장']"
새우오이샐러드,새우샐러드 담백 상큼한 냉동새우요리 새우오이샐러드,"['냉동새우', '오이', '빨강 파프리카', '노랑 파프리카', '양파', '굵은소금', '청주', '소금', '올리브유', '사과식초', '레몬즙', '설탕', '소금', '통깨', '검은깨', '후춧가루']"
초당옥수수시럽,초당옥수수시럽 만들기,"['물', '설탕', '초당옥수수농축액']"
황금계란볶음밥,간단한 황금계란볶음밥 (원팬요리),"['밥', '계란', '진간장', '굴소스', '파', '식용유', '채소', '소세지', '새우']"
마늘간장닭강정,마늘간장닭강정 만들기. 단짠단짠 매력적인 닭안심요리. 술안주. 아이들간식.,"['닭안심', '마늘', '마더소스', '올리고당', '물', '간장', '다진마늘', '설탕', '사과', '양파', '후춧가루']"
청양마요참치김밥,청양마요 참치김밥 ,"['김밥용김', '김밥용 햄', '단무지', '깻잎', '계란', '소금', '후추', '당근', '소금', '참치캔 100g', '마요네즈', '청양고추', '소금', '후추', '밥', '참기름', '통깨', '소금']"
호두통밀식빵,"호두 통밀식빵 만들기[손반죽] 노버터, 노우유, 노달걀 비건식빵","['강력분', '통 밀', '설탕', '소금', '드라이 이스트', '물', '올리브유', '호두']"
"무화과,오트밀,쿠키오트밀쿠키",오트밀 먹는법ㅣ초간단 오트밀 맛있게 먹는 방법ㅣ건강한 오트밀 식사,"['오트밀', '아몬드밀크', '피넛버터', '사과', '망고', '딸기', '키위', '치아씨드']"
허브마늘빵,허브 마늘빵 레시피 허브소금으로 만든 간단 홈브런치,"['바게트빵', '무염 버터', '쌀발효 허브소금', '다진 마늘']"
새우크림떡볶이,새우 크림 떡볶이,"['떡국떡', '옥수수', '버터', '밀가루', '슬라이스치즈', '청양고추', '양파', '칵테일새우', '분홍소시지', '소금', '후추', '파슬리가루']"
새싹채소강된장비빔밥,입맛 없을땐 비벼요 새싹 채소 강된장 비빔밥,"['상추', '부추', '새싹채소', '당근', '호박', '통깨', '올리브유', '들기름', '밥', '우리콩된장', '손질한 멸치', '물', '호박', '양파', '고추가루', '새송이버섯', '마늘', '표고버섯가루', '두부', '청양고추']"
